"filename", "language", "JSON with Comments", "JSON", "TypeScript", "TypeScript JSX", "XML", "CSS", "JavaScript", "YAML", "comment", "blank", "total"
"/Users/khudobin_v/Documents/bestMarketPlaceEver/Frontend/app/components/icons/trash-icon.tsx", "TypeScript JSX", 0, 0, 0, 27, 0, 0, 0, 0, 0, 1, 28
"/Users/khudobin_v/Documents/bestMarketPlaceEver/Frontend/app/components/icons/unit-icon.tsx", "TypeScript JSX", 0, 0, 0, 17, 0, 0, 0, 0, 0, 1, 18
"/Users/khudobin_v/Documents/bestMarketPlaceEver/Frontend/app/components/icons/user-icon.tsx", "TypeScript JSX", 0, 0, 0, 20, 0, 0, 0, 0, 0, 2, 22
"/Users/khudobin_v/Documents/bestMarketPlaceEver/Frontend/app/components/layout/banner.tsx", "TypeScript JSX", 0, 0, 0, 38, 0, 0, 0, 0, 0, 2, 40
"/Users/khudobin_v/Documents/bestMarketPlaceEver/Frontend/app/components/layout/filter.tsx", "TypeScript JSX", 0, 0, 0, 67, 0, 0, 0, 0, 0, 7, 74
"/Users/khudobin_v/Documents/bestMarketPlaceEver/Frontend/app/components/layout/footer.tsx", "TypeScript JSX", 0, 0, 0, 35, 0, 0, 0, 0, 0, 5, 40
"/Users/khudobin_v/Documents/bestMarketPlaceEver/Frontend/app/components/layout/header.tsx", "TypeScript JSX", 0, 0, 0, 74, 0, 0, 0, 0, 1, 3, 78
"/Users/khudobin_v/Documents/bestMarketPlaceEver/Frontend/app/components/layout/product-card.tsx", "TypeScript JSX", 0, 0, 0, 83, 0, 0, 0, 0, 0, 3, 86
"/Users/khudobin_v/Documents/bestMarketPlaceEver/Frontend/app/components/profile/manager/point-info.tsx", "TypeScript JSX", 0, 0, 0, 3, 0, 0, 0, 0, 0, 0, 3
"/Users/khudobin_v/Documents/bestMarketPlaceEver/Frontend/app/components/profile/user/change-password-panel.tsx", "TypeScript JSX", 0, 0, 0, 40, 0, 0, 0, 0, 0, 2, 42
"/Users/khudobin_v/Documents/bestMarketPlaceEver/Frontend/app/components/profile/user/payment-data.tsx", "TypeScript JSX", 0, 0, 0, 60, 0, 0, 0, 0, 1, 5, 66
"/Users/khudobin_v/Documents/bestMarketPlaceEver/Frontend/app/components/profile/user/statistics-panel.tsx", "TypeScript JSX", 0, 0, 0, 37, 0, 0, 0, 0, 0, 2, 39
"/Users/khudobin_v/Documents/bestMarketPlaceEver/Frontend/app/components/profile/user/user-data.tsx", "TypeScript JSX", 0, 0, 0, 45, 0, 0, 0, 0, 0, 2, 47
"/Users/khudobin_v/Documents/bestMarketPlaceEver/Frontend/app/components/ui/button.tsx", "TypeScript JSX", 0, 0, 0, 56, 0, 0, 0, 0, 4, 5, 65
"/Users/khudobin_v/Documents/bestMarketPlaceEver/Frontend/app/components/ui/counter.tsx", "TypeScript JSX", 0, 0, 0, 29, 0, 0, 0, 0, 0, 3, 32
